_id,theme,source,title,description,published_on
16,funding,bing,Microsoft Is Said to Be in Talks to Acquire TikTok. What That Means for the Stock.,President Donald Trump is expected to order the popular video-sharing apps parent company to divest its ownership stake.,2020-07-31T20:22:00.0000000Z
87,product_launches,bing,Ineos Launches Global Business to Market Sanitizer Products to Medical Professionals and Consumers,"Ineos Hygienics will produce hospital-grade hand gels, sanitizer sprays for hands and surfaces, and sanitizer wipes for the home and to the public. The official launch of the business is being announced during British Grand Prix weekend,",2020-07-31T18:10:00.0000000Z
25,acquisition,bing,PAI Partners in talks to acquire Amplitude Surgical,PAI Partners is in exclusive talks to acquire a majority stake in Amplitude Surgical for 2.15 euros per share.,2020-07-31T14:13:00.0000000Z
44,acquisition,bing,NBCUniversal Sells Entire Stake In Peloton,"In an SEC filing, NBCUniversal said it saw a $86 million gain on its investment in the fitness company in the second quarter of this year.",2020-07-31T16:35:00.0000000Z
27,acquisition,bing,Microsoft May Look To Acquire TikToks U.S. Operations: Report,"Microsoft is reportedly considering an acquisition of the U.S. operations for social media app TikTok, which is owned by Chinas ByteDance. Outlets including Bloomberg reported Friday that President Donald Trump will order ByteDance to sell off the U.S ...",2020-07-31T18:58:00.0000000Z
86,product_launches,bing,Globant (GLOB) Launches Continuity Studio,Technology services company Globant SA (NYSE: GLOB) has announced the launch of the Continuity Studio product in order to help businesses face new challenges caused by the pandemic.,2020-07-31T18:27:00.0000000Z
91,executive_movements,bing,Dominos promotes DElia to CMO,"ANN ARBOR, MICH.  Art DElia has been promoted to executive vice president and chief marketing officer at Dominos Pizza, Inc. His expanded role includes responsibility for all global marketing initiatives, leading US marketing and advertising and w ...",2020-07-31T15:27:00.0000000Z
78,product_launches,bing,Amul doubles down on immunity boosting products amid coronavirus; launches Haldi Ice Cream,Gujarat-based Amul has doubled down on its immunity boosting range amid coronavirus pandemic as demand booms for such products. The company announced the launch of Haldi or Turmeric Ice Cream.,2020-08-01T08:05:00.0000000Z
50,partnerships,bing,Wedbush raises AAPL target to $475 after earnings 'performance for the ages',"Investment bank Wedbush is raising its AAPL price target to $475 on Apple's ""Picasso-like"" June quarter earnings results and the expectation of an ""iPhone 12 super cycle.""",2020-08-01T04:59:00.0000000Z
112,ipos,bing,Conscious agribusiness Vital Farms goes public,"You can find their eggs in Whole Foods, Walmart and other big stores. Now you can find their stock on the Nasdaq, too.",2020-07-31T20:26:00.0000000Z
3,funding,bing,Fenwick-Led Telehealth Co. Raises $33M As Industry Booms,"Fenwick-advised telehealth platform Lemonaid Health said Friday that it has raised $33 million in an oversubscribed funding round led by health care-focused venture capital firm Olive Tree Ventures to expand its virtual consultation offerings,",2020-07-31T22:36:00.0000000Z
10,funding,bing,Uni-Select Inc. (UNIEF) CEO Brent Windom on Q2 2020 Results - Earnings Call Transcript,"Q2 2020 Results Earnings Conference Call July 30, 2020, 08:00 AM ET Company Participants Louis Juneau - Chief Legal Officer and Corporate Secretary Brent Windom - President and Chief Executive Officer Eric Bussieres - Chief Financial Officer Conference Call Participants Jean-Francois Lavoie - Desjardins Jonathan Lamers - BMO Capital Markets Jonathan Lamers - BMO Capital Markets Daryl Young - TD Securities Zachary Evershed - National Bank Financial Presentation Operator Good morning,",2020-08-01T08:53:00.0000000Z
48,acquisition,bing,IPS bids to raise stake in Seacom,"IPS Cable Systems has made a bid to acquire further shareholding in Africas premier fibre optic undersea cable firm, Seacom, in a move set to realign the regional broadband market. According to an inquiry notice from the Comesa Competition Commission,",2020-07-31T21:43:00.0000000Z
32,acquisition,bing,"US will ban TikTok app, Microsoft in talks to acquire Chinese app US operations",Trump said that American authorities have raised concerns that the TikTok app could be a tool for Chinese intelligence.,2020-08-01T06:08:00.0000000Z
39,acquisition,bing,Corsair Capital to Acquire MSTS From World Fuel Services,"We picked up this release, which discusses the acquisition of Multi Service Technology Solutions (MSTS) by Corsair Capital, from OA",2020-07-31T18:54:00.0000000Z
49,partnerships,bing,XCMG launches products and partnerships,"XCMG has held an event to present its latest access product range and sign agreements with working at height associations and a rental company. The XCMG Aerial Work Platform Products Experience Day was held at its facilities in Shenzhen, China. More than ...",2020-07-31T13:26:00.0000000Z
7,funding,bing,"XBiotech: Well Funded, Working On The Next Bermekimab, And Undervalued","XBiotech develops True Humanâ„¢ (naturally occurring) monoclonal antibodies that neutralise inflammation-causing interleukin-1 alpha, and may be useful in treating infectious diseases - including COVID-19.",2020-07-31T14:43:00.0000000Z
102,executive_movements,bing,Marvell Appoints AT&T's Marachel Knight to its Board of Directors,"We are thrilled to have Marachel join the Marvell Board, and I'm personally excited about her background and expertise, said Matt Murphy, president and CEO of Marvell. ""Given ou",2020-07-31T11:57:00.0000000Z
103,executive_movements,bing,StoneLock Appoints Enterprise Security Trailblazer as GM,"Biometrics specialist StoneLock has promoted one of its own to the role of General Manager. Yanik Brunet, who previously served as the",2020-07-31T21:21:00.0000000Z
74,leadership_changes,bing,Leadership Changes at Ivy Tech,Ivy Tech Community College has promoted Kristen Schunk Moreland (pictured) to senior vice president and chief strategy officer. She previously served as vice president for Change Management and Strate,2020-07-31T16:30:00.0000000Z
76,leadership_changes,bing,"Dominion announces second-quarter net loss, leadership change","Dominion Energy announced a net loss of $1.2 billion, or $1.41 per share, in reported earnings for the three months ending June 20. For the same period in 2019, the company declared a net gain of $54 million,",2020-07-31T14:12:00.0000000Z
19,funding,bing,Alta Equipment to acquire Martin Implement Sales,"Alta Equipment Group (NYSE:ALTG) announcesÂ an agreement to acquire Martin Implement Sales.Martin sells construction and agricultural equipment and offers comprehensive services, including equipment financing,",2020-07-31T17:46:00.0000000Z
41,acquisition,bing,Franklin Templeton Completes Acquisition of Legg Mason,"BEN], a global investment management organization with subsidiaries operating as Franklin Templeton, today announced that it has completed its previously announced acquisition of Legg Mason, Inc. [NYSE:LM] and its specialist investment managers.",2020-07-31T21:00:00.0000000Z
37,acquisition,bing,Nvidia in Advanced Talks to Acquire SoftBank-owned Chip Maker ARM For $32 Billion,"US chip-maker Nvidia is reportedly in advance talks to acquire SoftBank-owned UK chip company ARM in a cash-and-stock deal worth at least $32 billion. According to a report in the Financial Times on Friday citing sources,",2020-08-01T05:45:00.0000000Z
2,funding,bing,Wine.com Seeks Funding at Valuation of More Than $1 Billion,"Wine.com, an online retailer that lets customers chat live with sommeliers, is exploring a funding round thatll value it at more than $1 billion, according to people with knowledge of the matter.The company has tapped an adviser for the fundraising,",2020-08-01T00:02:00.0000000Z
80,product_launches,bing,Spectrum Launches News App for Local Coverage,"Spectrum Networks is increasing its customers access to local news content with the launch of the Spectrum News App. The Spectrum News App combines reporting from existing newsrooms and weather teams,",2020-07-31T17:17:00.0000000Z
107,ipos,bing,Checkmate Pharmaceuticals Begins IPO Process,Checkmate Pharmaceuticals has filed to raise $75 million in an IPO. The firm is developing a drug candidate for the treatment of various cancers.,2020-07-31T16:34:00.0000000Z
72,leadership_changes,bing,TikTok Owner Eyes Listing Change To Dodge US Sanctions,"With the Trump administration signaling that it may ban TikTok in the U.S., owner ByteDance may register as a publicly-traded company in Shanghai or Hong Kong.",2020-07-31T15:54:00.0000000Z
28,acquisition,bing,"SinglePoint Subsidiary Enters Into Letter of Intent (LOI) to Acquire Standard Eco Solar with Unaudited Annual Revenue of $11,345,061 (2019)","SinglePoint Inc. (OTCQB:SING) (""SinglePoint""), announced that its majority owned subsidiary, Direct Solar of America, LLC (""Direct Solar""), has entered into a Letter of Intent (""LOI"") to acquire Standard Eco Solar (""Standard Eco""),",2020-07-31T17:21:00.0000000Z
20,funding,bing,Advent to acquire RA Chem Pharma,"Advent International has agreed to acquire a controlling stake in RA Chem Pharma, an India-based pharmaceutical company, from Micro Labs Limited.",2020-07-31T15:12:00.0000000Z
88,executive_movements,bing,Domino's Promotes Art D'Elia to Chief Marketing Officer,"Domino's Pizza announced the promotion of Art D'Elia to executive vice president, chief marketing officer. In this expanded role, D'Elia will run all global marketing initiatives for the brand, leading all U.S. marketing and advertising, and working with ...",2020-07-31T11:46:00.0000000Z
99,executive_movements,bing,Durante Rentals Appoints Liam J. Harrington as President,"Durante Rentals announced the appointment of Liam J. Harrington as their new President. In this expanded role, Liam will be responsible for day-to-day operations, sales, marketing, technology, and finance.",2020-07-31T10:53:00.0000000Z
58,technologies,bing,NIH invests $248.7 million in new COVID-19 testing technologies to meet U.S. demand,The National Institutes of Health is investing $248.7 million in new technologies to address challenges associated with COVID-19 testing (which detects SARS-CoV-2 coronavirus).,2020-08-01T01:32:00.0000000Z
97,executive_movements,bing,"Capitol Federal Financial, Inc.Â® Appoints Carlton A. Ricketts to Board of Directors; Increases the Size of Board to Nine Members","Capitol Federal Financial, Inc.Â® Appoints Carlton A. Ricketts to Board of Directors; Increases the Size of Board to Nine Members",2020-07-31T18:56:00.0000000Z
96,executive_movements,bing,Greg Gonzalez joins Core Spaces as Director of Acquisitions,"Focusing on growing Cores development and acquisition pipeline in select conventional markets, Greg Gonzalez will be based in Chicago.",2020-07-31T23:40:00.0000000Z
70,leadership_changes,bing,Lloyd's Wants Women In 35% Of Leadership Roles By 2023,"Lloyd's of London has outlined diversity targets in a drive to get more women in leadership roles within insurance companies, setting a goal of at least 35% representation by 2023.",2020-07-31T19:01:00.0000000Z
61,technologies,bing,Compulink Technologies and Freshworks Streamline IT Support for Higher Education at USNY,"So, the college turned to IT solutions provider Compulink Technolog ies for support. Compulink Technologies equipped the higher education college at USNY with the Freshservice ITSM service from their partner Freshworks. Freshworks Freshservice is an ...",2020-07-31T17:31:00.0000000Z
52,partnerships,bing,Minnesota company gets most aid in Iowa hog disposal program,"Christensen Farms, one of the nations largest family-owned pork producers, has received $1.86 million from the Iowa Disposal Assistance Program, or 72% of the $2.6 million the program has paid to date.",2020-08-01T06:03:00.0000000Z
1,funding,bing,"Chinese Tesla rival Xpeng Motors in talks over $300 million in funding ahead of U.S. IPO, sources say","Xpeng Motors, one of Tesla's rivals in China, is in talks to raise around $300 million in funding ahead of an initial public offering (IPO) in the U.S., two sources familiar with the matter told CNBC.",2020-07-31T15:41:00.0000000Z
56,technologies,bing,"Minerals Technologies, Inc. (MTX) CEO Douglas Dietrich on Q2 2020 Results - Earnings Call Transcript","Q2 2020 Earnings Conference Call July 31, 2020, 11:00 ET Company Participants Erik Aldag - Head, IR Douglas Dietrich - CEO & Director Matthew Garth - SVP, Finance & Treasury and CFO D.",2020-07-31T19:35:00.0000000Z
62,technologies,bing,Aristocrat Technologies Upgraded Dragon Link to premiere at Seminole Hard Rock Tampa,"Aristocrat Technologies announced today its launch of the latest evolution of the popular Dragon Link slot machine. Seminole Hard Rock Hotel & Casino Tampa is the first property to offer the newest iteration of the game,",2020-07-31T19:05:00.0000000Z
